,label,site,site.code,sub.site,sub.site.code,transect,trans,site.label,date,season,protection,enforcement,total.mpa.ha,size.notake,yr.creation,age.reserve.yr,rug,lat,lon,d.range.code,depth.range,depth,t.length,t.width,t.area,family ,order,sp.code,sp.rich,sp.length,species,sp.n,data.origin
3076,ADR1AF,ADRASAN,ADR,1,1ADR,A,993,ADR1AF,,Summer,NO,,,,,,1.62,36.237,30.436,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,5,,Chromis.chromis,48,Sala - PEW
3077,ADR1AF,ADRASAN,ADR,1,1ADR,A,993,ADR1AF,,Summer,NO,,,,,,1.62,36.237,30.436,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,5,,Coris.julis,2,Sala - PEW
3079,ADR1AF,ADRASAN,ADR,1,1ADR,A,993,ADR1AF,,Summer,NO,,,,,,1.62,36.237,30.436,3,08-‹š”,10,25,5,125,Labridae,Perciformes,DIPV,5,,Diplodus.vulgaris,2,Sala - PEW
3080,ADR1AF,ADRASAN,ADR,1,1ADR,A,993,ADR1AF,,Summer,NO,,,,,,1.62,36.237,30.436,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,5,,Thalassoma.pavo,12,Sala - PEW
3078,ADR1AF,ADRASAN,ADR,1,1ADR,A,993,ADR1AF,,Summer,NO,,,,,,1.62,36.237,30.436,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,SARGUS,5,,Diplodus.sargus,2,Sala - PEW
3081,ADR1BF,ADRASAN,ADR,1,1ADR,B,994,ADR1BF,,Summer,NO,,,,,,1.26,36.237,30.436,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,4,,Chromis.chromis,100,Sala - PEW
3082,ADR1BF,ADRASAN,ADR,1,1ADR,B,994,ADR1BF,,Summer,NO,,,,,,1.26,36.237,30.436,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,4,,Coris.julis,1,Sala - PEW
3086,ADR1BF,ADRASAN,ADR,1,1ADR,B,994,ADR1BF,,Summer,NO,,,,,,1.26,36.237,30.436,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,4,,Thalassoma.pavo,49,Sala - PEW
3083,ADR1BF,ADRASAN,ADR,1,1ADR,B,994,ADR1BF,,Summer,NO,,,,,,1.26,36.237,30.436,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,SARGUS,4,,Diplodus.sargus,2,Sala - PEW
3084,ADR1BF,ADRASAN,ADR,1,1ADR,B,994,ADR1BF,,Summer,NO,,,,,,1.26,36.237,30.436,3,08-‹š”,10,25,5,125,Siganidae,Perciformes,SIGL,4,,Siganus.luridus,3,Sala - PEW
